13. Termination:, FID="Bs0bsYUcNWhl66QT" UGFLinkReference="sE3sE148" FIDparent="AVoVS18aD7fSCihG" UGFparent="iNrElegal",Bs0bsYUcNWhl66QT,sE3sE148,AVoVS18aD7fSCihG,iNrElegal,3,sE,3sE148
14. Reformation:, FID="Bsz35AniWHNQaLZC" UGFLinkReference="sE3sE149" FIDparent="AVoVS18aD7fSCihG" UGFparent="iNrElegal",Bsz35AniWHNQaLZC,sE3sE149,AVoVS18aD7fSCihG,iNrElegal,3,sE,3sE149
15. COPYRIGHT NOTICE, FID="BtdOLYqVKKAuNNFc" UGFLinkReference="sE3sE150" FIDparent="AVoVS18aD7fSCihG" UGFparent="iNrElegal",BtdOLYqVKKAuNNFc,sE3sE150,AVoVS18aD7fSCihG,iNrElegal,3,sE,3sE150
Introduction, FID="C5SqvK8dlOJtcmSA" UGFLinkReference="iNrEintroduction",C5SqvK8dlOJtcmSA,iNrEintroduction,,,17,iNrEintroduction,
Vision, FID="CAOR2tLxWWMBydhX" UGFLinkReference="sEsE1",CAOR2tLxWWMBydhX,sEsE1,,,5,sEsE,1
About, FID="DE9CPUbPnlkhEP9p" UGFLinkReference="sEsE14",DE9CPUbPnlkhEP9p,sEsE14,,,5,sEsE,14
Goals for the Future, FID="CBO2otUTphYWAnho" UGFLinkReference="sE2sE140" FIDparent="CAOR2tLxWWMBydhX" UGFparent="sEsE1",CBO2otUTphYWAnho,sE2sE140,CAOR2tLxWWMBydhX,sEsE1,3,sE,2sE140
Biggest Problems in Genre, FID="CFDAmxzDPXiKo0tb" UGFLinkReference="sE2sE131" FIDparent="CAOR2tLxWWMBydhX" UGFparent="sEsE1",CFDAmxzDPXiKo0tb,sE2sE131,CAOR2tLxWWMBydhX,sEsE1,3,sE,2sE131
Prayers for the Future, FID="CZgSyo8m5fDv8noK" UGFLinkReference="sE2sE132" FIDparent="CAOR2tLxWWMBydhX" UGFparent="sEsE1",CZgSyo8m5fDv8noK,sE2sE132,CAOR2tLxWWMBydhX,sEsE1,3,sE,2sE132
Ethics, FID="CzNZ5hUQ7hA4aCh9" UGFLinkReference="sE2sE133" FIDparent="CAOR2tLxWWMBydhX" UGFparent="sEsE1",CzNZ5hUQ7hA4aCh9,sE2sE133,CAOR2tLxWWMBydhX,sEsE1,3,sE,2sE133
Layout, FID="DHo43xsvXImEG5yj" UGFLinkReference="sE2sE134" FIDparent="DE9CPUbPnlkhEP9p" UGFparent="sEsE14",DHo43xsvXImEG5yj,sE2sE134,DE9CPUbPnlkhEP9p,sEsE14,3,sE,2sE134
Canonization of Content, FID="DJ8bdLVLL9m7q0WI" UGFLinkReference="sE2sE135" FIDparent="DE9CPUbPnlkhEP9p" UGFparent="sEsE14",DJ8bdLVLL9m7q0WI,sE2sE135,DE9CPUbPnlkhEP9p,sEsE14,3,sE,2sE135
Contributor Biographies, FID="DZaoq0hEZvI2wDh2" UGFLinkReference="sE2sE137" FIDparent="DE9CPUbPnlkhEP9p" UGFparent="sEsE14",DZaoq0hEZvI2wDh2,sE2sE137,DE9CPUbPnlkhEP9p,sEsE14,3,sE,2sE137
Partnered Leagues, FID="DjEp71Jrvp6V80Qz" UGFLinkReference="sE2sE138" FIDparent="DE9CPUbPnlkhEP9p" UGFparent="sEsE14",DjEp71Jrvp6V80Qz,sE2sE138,DE9CPUbPnlkhEP9p,sEsE14,3,sE,2sE138
VTT Reviews, FID="Dy7ioCMRWsu0QDFr" UGFLinkReference="sE2sE139" FIDparent="DE9CPUbPnlkhEP9p" UGFparent="sEsE14",Dy7ioCMRWsu0QDFr,sE2sE139,DE9CPUbPnlkhEP9p,sEsE14,3,sE,2sE139
Biggest Problem for the Player, FID="CFRAJQswHkynQJrW" UGFLinkReference="sE3sE133" FIDparent="CAOR2tLxWWMBydhX" UGFparent="sEsE1",CFRAJQswHkynQJrW,sE3sE133,CAOR2tLxWWMBydhX,sEsE1,3,sE,3sE133
Biggest Problem for the Game Master, FID="CI7urrGnw3l44ZWj" UGFLinkReference="sE3sE134" FIDparent="CAOR2tLxWWMBydhX" UGFparent="sEsE1",CI7urrGnw3l44ZWj,sE3sE134,CAOR2tLxWWMBydhX,sEsE1,3,sE,3sE134
Biggest Problem for the Publisher, FID="CXxSXebGnqlZSKlt" UGFLinkReference="sE3sE135" FIDparent="CAOR2tLxWWMBydhX" UGFparent="sEsE1",CXxSXebGnqlZSKlt,sE3sE135,CAOR2tLxWWMBydhX,sEsE1,3,sE,3sE135
Improvements for a Camp, FID="CdL0iLo7UOAAygbM" UGFLinkReference="sE3sE123" FIDparent="CAOR2tLxWWMBydhX" UGFparent="sEsE1",CdL0iLo7UOAAygbM,sE3sE123,CAOR2tLxWWMBydhX,sEsE1,3,sE,3sE123
Christian Group Home, FID="Cl3oweAgViM1WQpM" UGFLinkReference="sE3sE124" FIDparent="CAOR2tLxWWMBydhX" UGFparent="sEsE1",Cl3oweAgViM1WQpM,sE3sE124,CAOR2tLxWWMBydhX,sEsE1,3,sE,3sE124
Social Skills School, FID="CrcghrA2al9Re9jS" UGFLinkReference="sE3sE125" FIDparent="CAOR2tLxWWMBydhX" UGFparent="sEsE1",CrcghrA2al9Re9jS,sE3sE125,CAOR2tLxWWMBydhX,sEsE1,3,sE,3sE125
Good for Our Contributors, FID="D08sVUmmbzTJucKI" UGFLinkReference="sE3sE126" FIDparent="CAOR2tLxWWMBydhX" UGFparent="sEsE1",D08sVUmmbzTJucKI,sE3sE126,CAOR2tLxWWMBydhX,sEsE1,3,sE,3sE126
Good for Our Consumers, FID="D0Ef3raVL66LXTL9" UGFLinkReference="sE3sE127" FIDparent="CAOR2tLxWWMBydhX" UGFparent="sEsE1",D0Ef3raVL66LXTL9,sE3sE127,CAOR2tLxWWMBydhX,sEsE1,3,sE,3sE127
Good for the Nations We Live in, FID="D5iTHprMx2eGQ3mB" UGFLinkReference="sE3sE128" FIDparent="CAOR2tLxWWMBydhX" UGFparent="sEsE1",D5iTHprMx2eGQ3mB,sE3sE128,CAOR2tLxWWMBydhX,sEsE1,3,sE,3sE128
* Official, FID="DLTBOVpQqc9tHpLG" UGFLinkReference="sE3sE129" FIDparent="DE9CPUbPnlkhEP9p" UGFparent="sEsE14",DLTBOVpQqc9tHpLG,sE3sE129,DE9CPUbPnlkhEP9p,sEsE14,3,sE,3sE129
** Modified, FID="DR1TqjcFFuLs2Arf" UGFLinkReference="sE3sE130" FIDparent="DE9CPUbPnlkhEP9p" UGFparent="sEsE14",DR1TqjcFFuLs2Arf,sE3sE130,DE9CPUbPnlkhEP9p,sEsE14,3,sE,3sE130
*** Incarnate Content, FID="DVZChw4NG7MU61ev" UGFLinkReference="sE3sE131" FIDparent="DE9CPUbPnlkhEP9p" UGFparent="sEsE14",DVZChw4NG7MU61ev,sE3sE131,DE9CPUbPnlkhEP9p,sEsE14,3,sE,3sE131
**** Product Identity Censoring, FID="DZ2KFrApPMQeJtTY" UGFLinkReference="sE3sE132" FIDparent="DE9CPUbPnlkhEP9p" UGFparent="sEsE14",DZ2KFrApPMQeJtTY,sE3sE132,DE9CPUbPnlkhEP9p,sEsE14,3,sE,3sE132
Philip Lawrence (ProNobis), FID="DbwQAYsFV9zlNrZS" UGFLinkReference="sE3sE151" FIDparent="DE9CPUbPnlkhEP9p" UGFparent="sEsE14",DbwQAYsFV9zlNrZS,sE3sE151,DE9CPUbPnlkhEP9p,sEsE14,3,sE,3sE151
Explorer's Guild, FID="DoCjfU81vTY7ySWO" UGFLinkReference="sE3sE161" FIDparent="DE9CPUbPnlkhEP9p" UGFparent="sEsE14",DoCjfU81vTY7ySWO,sE3sE161,DE9CPUbPnlkhEP9p,sEsE14,3,sE,3sE161
Astral Tabletop, FID="DysVngrWxlx8SS2m" UGFLinkReference="sE3sE152" FIDparent="DE9CPUbPnlkhEP9p" UGFparent="sEsE14",DysVngrWxlx8SS2m,sE3sE152,DE9CPUbPnlkhEP9p,sEsE14,3,sE,3sE152
